week,state,district,risk_category,severity_score,severity_trend,dominant_signal,signal_contribution,enrol_total,demo_total,bio_total,enrol_age_0_5,enrol_age_5_17,enrol_age_18_plus,demo_age_5_17,demo_age_18_plus,bio_age_5_17,bio_age_18_plus,is_anomaly,data_quality_flag,data_completeness
2025-09-02/2025-09-08,100000,100000,Stable,7.545022722261726,insufficient_data,Enrolment,Enrolment (89%),5,0,0,0,0,5,0,0,0,0,False,partial,33.33333333333333
2025-09-09/2025-09-15,100000,100000,Stable,7.517169551208937,stable,Enrolment,Enrolment (88%),5,0,0,0,0,5,0,0,0,0,False,partial,33.33333333333333
2025-09-16/2025-09-22,100000,100000,Stable,5.982251703856329,stable,Enrolment,Enrolment (87%),2,0,0,0,0,2,0,0,0,0,False,partial,33.33333333333333
2025-10-21/2025-10-27,100000,100000,Stable,6.23079592856706,stable,Enrolment,Enrolment (84%),1,0,0,0,1,0,0,0,0,0,False,partial,33.33333333333333
2025-11-11/2025-11-17,100000,100000,Stable,9.145430553418255,stable,Enrolment,Enrolment (90%),9,0,0,0,0,9,0,0,0,0,False,partial,33.33333333333333
2025-11-18/2025-11-24,100000,100000,Stable,7.199954982863771,stable,Enrolment,Enrolment (79%),2,0,0,0,0,2,0,0,0,0,False,partial,33.33333333333333
2025-12-09/2025-12-15,100000,100000,Critical,24.6723074329392,accelerating_up,Enrolment,Enrolment (97%),161,0,0,0,0,161,0,0,0,0,True,partial,33.33333333333333
2025-12-16/2025-12-22,100000,100000,Stable,4.305384251695447,accelerating_down,Enrolment,Enrolment (61%),0,1,0,0,0,0,0,1,0,0,False,partial,33.33333333333333
2025-12-23/2025-12-29,100000,100000,Stable,12.980346635876362,accelerating_up,Enrolment,Enrolment (87%),29,1,0,0,0,29,0,1,0,0,False,partial,66.66666666666666
2025-12-30/2026-01-05,100000,100000,Stable,37.54116011000139,accelerating_up,Demographic,Demographic (44%),4,0,0,0,0,4,0,0,0,0,False,partial,33.33333333333333
